,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Brooklyn (2015),77.0,97%,Brooklyn (2015),276,PG-13 (Brief Strong Language|A Scene of Sexuality),"Drama, History, Romance",English (United Kingdom),John Crowley,"Finola Dwyer, Amanda Posey",Nick Hornby,"Nov 25, 2015 wide","Mar 15, 2016",$38.3M,1h 52m,Fox Searchlight,,,
12 Angry Men (Twelve Angry Men) (1957),78.0,100%,12 Angry Men (Twelve Angry Men) (1957),58,,Drama,English,Sidney Lumet,"Henry Fonda, Reginald Rose",Reginald Rose,"Apr 20, 1957 original","Mar 4, 2008",,1h 35m,"Metro-Goldwyn-Mayer, MGM/UA Home Entertainment Inc., United Artists, Criterion Collection",,,
Marty (1955),79.0,99%,Marty (1955),70,,Drama,English,Delbert Mann,Harold Hecht,"Paddy Chayefsky, Paddy Chayefsky","May 21, 1955 wide","Oct 5, 2010",,1h 31m,United Artists,Mono,Flat (1.37:1),
"Three Billboards Outside Ebbing, Missouri (2017)",80.0,90%,"Three Billboards Outside Ebbing, Missouri (2017)",409,R (Some Sexual References|Language Throughout|Violence),"Drama, Comedy, Crime",English,Martin McDonagh,"Graham Broadbent, Peter Czernin, Martin McDonagh",Martin McDonagh,"Nov 22, 2017 wide","Feb 27, 2018",$54.1M,1h 55m,Fox Searchlight,Dolby Digital,Scope (2.35:1),
Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief) (1949),81.0,98%,Bicycle Thieves (Ladri di biciclette) (The Bicycle Thief) (1949),66,,Drama,Italian,Vittorio De Sica,Vittorio De Sica,"Luigi Bartolini, Cesar Zavattini, Suso Cecchi d'Amico","Oct 24, 1948 original","Aug 12, 2003",$332.9K,1h 30m,,Mono,Flat (1.37:1),
The Treasure of the Sierra Madre (1948),82.0,100%,The Treasure of the Sierra Madre (1948),52,,"Drama, Adventure, Western",English,John Huston,Henry Blanke,"B. Traven, John Huston","Jan 6, 1948 original","Sep 30, 2003",,2h 4m,"Warner Bros. Pictures, MGM/UA Home Entertainment Inc.",,,
Lawrence of Arabia (1962),83.0,94%,Lawrence of Arabia (1962),124,PG,"Drama, Adventure, Biography, History",English,David Lean,"Robert A. Harris, Sam Spiegel","Robert Bolt, Michael Wilson","Dec 16, 1962 original","Apr 3, 2001",$6.0M,3h 36m,"Columbia Tristar, RCA Home Video, Criterion Collection, Columbia TriStar Home Video",Surround,,
Chinatown (1974),84.0,99%,Chinatown (1974),76,R,"Drama, Crime",English,Roman Polanski,Robert Evans,"Robert Towne, Roman Polanski","Jun 20, 1974 original","Nov 23, 1999",,2h 11m,Paramount Pictures,Mono,,
Creed (2015),85.0,95%,Creed (2015),312,PG-13 (Some Sensuality|Language|Violence),Drama,English,Ryan Coogler,"Irwin Winkler, Robert Chartoff, Charles Winkler, William Chartoff, David Winkler, Kevin King Templeton, Sylvester Stallone","Ryan Coogler, Aaron Covington","Nov 25, 2015 wide","Mar 1, 2016",$109.7M,2h 13m,Warner Bros. Pictures,"Datasat, Dolby Digital, Dolby Atmos",Scope (2.35:1),Rocky
Blade Runner 2049 (2017),86.0,88%,Blade Runner 2049 (2017),443,R (Nudity|Language|Some Sexuality|Violence),"Mystery & thriller, Sci-fi",English,Denis Villeneuve,"Andrew A. Kosove, Broderick Johnson, Bud Yorkin, Cynthia Sikes Yorkin","Hampton Fancher, Michael Green","Oct 6, 2017 wide","Jan 16, 2018",$91.5M,2h 44m,Warner Bros. Pictures,Dolby Atmos,Scope (2.35:1),Blade Runner
All the King's Men (1949),87.0,97%,All the King's Men (1949),70,,Drama,English,Robert Rossen,Robert Rossen,Robert Rossen,"Nov 8, 1949 wide","Jun 5, 2001",,1h 49m,Columbia Pictures,Mono,Flat (1.37:1),
The Wrestler (2008),88.0,98%,The Wrestler (2008),233,R (Nudity|Language|Sexuality|Some Drug Use|Violence),Drama,English,Darren Aronofsky,"Scott Franklin, Darren Aronofsky",Robert D. Siegel,"Dec 17, 2008 limited","Apr 21, 2009",$26.2M,1h 50m,Fox,,,
First Man (2018),89.0,87%,First Man (2018),457,PG-13 (Peril|Brief Strong Language|Some Thematic Content),"Drama, Adventure, Biography, History",English,Damien Chazelle,"Wyck Godfrey, Marty Bowen, Isaac Klausner, Damien Chazelle",Josh Singer,"Oct 12, 2018 wide","Jan 8, 2019",$44.8M,2h 21m,Universal Pictures,"Dolby Atmos, DTS",Scope (2.35:1),
Harry Potter and the Deathly Hallows - Part 2 (2011),90.0,96%,Harry Potter and the Deathly Hallows - Part 2 (2011),332,PG-13 (Seq of Intense Action Violence|Frightening Images),"Fantasy, Adventure",English,David Yates,"David Heyman, David Barron, J.K. Rowling",Steve Kloves,"Jul 15, 2011 wide","Nov 11, 2011",$381.0M,2h 11m,Warner Bros. Pictures,"SDDS, Dolby Digital",,Harry Potter
The Hurt Locker (2009),91.0,97%,The Hurt Locker (2009),289,R (War Violence|Language),"Drama, Mystery & thriller, War, Action",English,Kathryn Bigelow,"Kathryn Bigelow, Mark Boal, Nicolas Chartier",Mark Boal,"Jul 31, 2009 original","Jan 12, 2010",$15.7M,2h 7m,Summit Media,,,
Battleship Potemkin (1925),92.0,100%,Battleship Potemkin (1925),49,,"Drama, Mystery & thriller, History",Russian,Sergei M. Eisenstein,Jacob Bliokh,"Nina Agadzhanova, Nikolay Aseev, Sergei M. Eisenstein, Sergei Tretyakov","Dec 5, 1926 original","Nov 4, 2003",$51.0K,1h 7m,"Amkino Corporation, Reel Media International [us], Grapevine Video, Image Entertainment Inc.",,Academy (1.33:1),
Dolemite Is My Name (2019),93.0,97%,Dolemite Is My Name (2019),233,R (Pervasive Language|Graphic Nudity|Crude Sexual Content),"Drama, Biography, Comedy",English,Craig Brewer,"John Davis, John Fox","Scott Alexander, Larry Karaszewski","Oct 4, 2019 limited","Oct 25, 2019",,1h 58m,Netflix,,,
Uncut Gems (2019),94.0,92%,Uncut Gems (2019),342,R (Pervasive Strong Language|Brief Drug Use|Some Sexual Content|Violence),"Mystery & thriller, Comedy",English,"Ben Safdie, Joshua Safdie","Sebastian Bear-McClard, Oscar Boyson",,"Dec 25, 2019 wide","Dec 13, 2019",$50.0M,2h 15m,A24,"Dolby Atmos, Dolby Digital",Scope (2.35:1),
Hidden Figures (2017),95.0,93%,Hidden Figures (2017),322,PG (Thematic Elements|Some Language),"Drama, History",English,Theodore Melfi,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, Theodore Melfi","Allison Schroeder, Theodore Melfi","Jan 6, 2017 wide","Apr 11, 2017",$169.3M,2h 7m,20th Century Fox,Dolby Digital,,
"I, Tonya (2018)",96.0,90%,"I, Tonya (2018)",385,R (Some Sexual Content/Nudity|Pervasive Language|Violence),"Drama, Biography, Comedy",English,Craig Gillespie,"Bryan Unkeless, Margot Robbie, Steven Rogers, Tom Ackerley",Steven Rogers,"Jan 12, 2018 wide","Feb 24, 2018",$30.0M,2h 1m,Neon,Dolby Atmos,Scope (2.35:1),
A Streetcar Named Desire (1951),97.0,97%,A Streetcar Named Desire (1951),63,PG,Drama,English,Elia Kazan,Charles K. Feldman,"Oscar Saul, Tennessee Williams, Tennessee Williams","Jan 1, 1951 wide","Sep 4, 2007",,2h 2m,Warner Bros. Pictures,,Flat (1.37:1),
Apocalypse Now (1979),98.0,98%,Apocalypse Now (1979),96,R,"Drama, War",English,Francis Ford Coppola,"Kim Aubry, Francis Ford Coppola","Joseph Conrad, John Milius, Francis Ford Coppola, Michael Herr","Aug 15, 1979 original","May 18, 2010",$78.8M,2h 33m,"Paramount Pictures, United Artists, Miramax Films",Surround,,
Touch of Evil (1958),99.0,95%,Touch of Evil (1958),79,,"Drama, Mystery & thriller, Crime",English,Orson Welles,Albert Zugsmith,"Orson Welles, Paul Monash, Franklin Coen",,"Jul 6, 2004",,1h 35m,,,,
The Lighthouse (2019),100.0,90%,The Lighthouse (2019),382,R (Nudity|Disturbing Images|Sexual Content|Some Language|Violence),"Drama, Mystery & thriller",English,Robert Eggers,"Jay Van Hoy, Lourenço Sant' Anna, Youree Henley, Rodrigo Teixeira","Robert Eggers, Max Eggers","Oct 25, 2019 wide","Oct 18, 2019",$10.9M,1h 50m,A24,,,
